D,M,Type,Priority,Colour,vesperesI,liturgija,Name
25,11,fakult.piemiòas diena,10,S,,,"Sv. Katrîna no Aleksandrijas, jaunava un mocekle"
30,11,svinîbas,6,S,,,SV. APUSTULIS ANDREJS
3,12,piemiòas diena,9,B,,,"Sv. Francisks Ksavers, priesteris"
4,12,fakult.piemiòas diena,10,B&S,,,"Sv. Jânis no Damaskas, Baznîcas doktors<br>Sv. Barbara, jaunava un mocekle"
6,12,fakult.piemiòas diena,10,B,,,"Sv. Nikolajs, bîskaps"
7,12,piemiòas diena,9,B,,,"Sv. Ambrozijs, bîskaps un Baznîcas doktors"
8,12,svinîbas,6,B,,,Immaculate Conception
9,12,fakult.piemiòas diena,10,B,,,Sv. Jânis Didakijs Kuatlatoatzins
11,12,fakult.piemiòas diena,10,B,,,"Sv. Damâzijs I, pâvests"
12,12,svinîbas,10,B,,,VJM no Gvadelupes
13,12,piemiòas diena,9,S,,,"Sv. Lûcija, jaunava un mocekle"
14,12,piemiòas diena,9,B,,,"Sv. Jânis no Krusta, priesteris un Baznîcas doktors"
21,12,fakult.piemiòas diena,10,B,,,"Sv. Pçteris Kanîzijs, priesteris un Baznîcas doktors"
23,12,fakult.piemiòas diena,10,B,,,Sv. Jânis no Kantas
25,12,lielas svinîbas,5,B,,,KRISTUS DZIMÐANA
26,12,svinîbas,6,S,,,"SV. STEFANS, PIRMMOCEKLIS"
27,12,svinîbas,6,B,,,SV. APUSTULIS UN EVAÒÌÇLISTS JÂNIS
28,12,svinîbas,6,S,,,"SV. NEVAINÎGIE BÇRNIÒI, MOCEKÏI"
29,12,fakult.piemiòas diena,10,B,,,"Sv. Toms Bekets, bîskaps un moceklis"
31,12,fakult.piemiòas diena,10,B,,,"Sv. Silvestrs I, pâvests"
